# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Mar 06 09:51:55 PST 2023 [seed=666]
# -seed 666 -overwrite /home/andrew/expmDerivative/code/covid10Mar_285plusNYC.noRandomyesHMC.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	sampleLoc.clock.rate	glmCoefficients1	glmCoefficients2	glmCoefficients3	c_allTransitions[1]
2600	-648.387223941417	-4.887461453496426	-643.4997624879206	0.31901086269083007	2019.8941038914074	22.84641495005166	5.506506554984848	0.0962620290137981	0.6218534149806391	-0.11690359133766781	111.0
2700	-646.6946536625993	-4.9073631136528295	-641.7872905489464	0.31901086269083007	2019.8941038914074	22.84641495005166	4.418282489083072	0.06445388269693322	0.7470213186907789	0.0815636273015205	106.0
2800	-650.6067492387738	-4.9515945483776616	-645.6551546903961	0.31901086269083007	2019.8941038914074	22.84641495005166	4.9491006884824476	-0.003489457009930634	0.955565635680215	0.09788460689657717	106.0
2900	-647.0775201495424	-4.918906652364919	-642.1586134971774	0.31901086269083007	2019.8941038914074	22.84641495005166	4.573971606831534	0.04319540116441478	0.8079102814054495	0.08130942802735398	106.0
3000	-647.0428531611784	-4.916165480071928	-642.1266876811064	0.31901086269083007	2019.8941038914074	22.84641495005166	3.614380544156171	0.0034739586695775523	0.7064599527359524	0.374391475618866	104.0
3100	-648.4449765644698	-4.939549160911381	-643.5054274035584	0.31901086269083007	2019.8941038914074	22.84641495005166	4.559508150068037	6.471665337730616E-4	0.8915352174753214	0.17748434893511605	104.0
3200	-648.0985407884951	-4.916210234488011	-643.1823305540071	0.31901086269083007	2019.8941038914074	22.84641495005166	5.001042565336646	0.08021555826180678	0.7905192958336352	-0.090936531057058	111.0
3300	-647.1215672978727	-4.956380295729102	-642.1651870021436	0.31901086269083007	2019.8941038914074	22.84641495005166	3.9962591932783362	0.021482953468877145	0.9263983792086797	0.3198589707851998	112.0
3400	-646.9659498744934	-4.912794284677424	-642.053155589816	0.31901086269083007	2019.8941038914074	22.84641495005166	3.8360711315533753	0.08183483135778297	0.7171736628756961	0.3020962507590263	103.0
3500	-647.8613324440138	-4.9307255148965785	-642.9306069291172	0.31901086269083007	2019.8941038914074	22.84641495005166	3.3659501095697824	0.028178154021220758	0.6379750672006751	0.5898650643054265	104.0
