# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Mar 03 13:33:46 PST 2023 [seed=666]
# -seed 666 -overwrite /home/andrew/expmDerivative/code/covid10Mar_285plusNYC.noRandom.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	sampleLoc.clock.rate	glmCoefficients1	glmCoefficients2	glmCoefficients3	c_allTransitions[1]
25000	-650.9842903322336	-5.079778436498692	-645.9045118957349	0.31901086269083007	2019.8941038914074	22.84641495005166	2.9741886892493694	-0.06244785063754748	0.9142312366010557	1.0528304106608832	100.0
26000	-646.9697253715285	-4.916771602686788	-642.0529537688417	0.31901086269083007	2019.8941038914074	22.84641495005166	4.354299628769373	0.014937769603066128	0.7503130137657092	0.284469568770676	106.0
27000	-647.8581343763892	-5.007512365139953	-642.8506220112492	0.31901086269083007	2019.8941038914074	22.84641495005166	2.9273920491841516	0.03223983571090841	0.8787983047734944	0.7724738981281879	103.0
28000	-647.3797495982349	-4.897275078295062	-642.4824745199398	0.31901086269083007	2019.8941038914074	22.84641495005166	4.603659564293321	0.05071984859532017	0.6949464779061288	-0.05118970417957409	110.0
29000	-646.9562219694978	-4.894725719889447	-642.0614962496084	0.31901086269083007	2019.8941038914074	22.84641495005166	4.270582382136513	0.0416834893743495	0.630450833275541	0.26180691797676997	107.0
30000	-647.4923612128118	-4.923164232829082	-642.5691969799827	0.31901086269083007	2019.8941038914074	22.84641495005166	4.061083749770964	-0.0038125336702852924	0.7244815551837667	0.41275740219570206	104.0
31000	-649.466500949234	-4.886274867775406	-644.5802260814586	0.31901086269083007	2019.8941038914074	22.84641495005166	5.6862517264707995	0.12977998584310343	0.5893762032500317	-0.18956439056310198	116.0
32000	-647.5075706202412	-4.933052103807896	-642.5745185164333	0.31901086269083007	2019.8941038914074	22.84641495005166	4.153309453765806	-0.009058939036923015	0.8260635669192248	0.30314455156664794	104.0
33000	-647.2725370666479	-4.947968748948442	-642.3245683176995	0.31901086269083007	2019.8941038914074	22.84641495005166	4.128357171252838	0.05639288353786595	0.904942712545706	0.267565675925392	120.0
34000	-648.8681063333154	-5.035003062861865	-643.8331032704535	0.31901086269083007	2019.8941038914074	22.84641495005166	3.057450730649132	-0.0445181020171279	0.9001824298782413	0.881848685475793	108.0
35000	-646.6491401455596	-4.932942590652079	-641.7161975549076	0.31901086269083007	2019.8941038914074	22.84641495005166	3.8357484487066147	0.03318773985462698	0.841711523804364	0.2527921665797411	107.0
36000	-647.0914825524655	-4.95137584364161	-642.140106708824	0.31901086269083007	2019.8941038914074	22.84641495005166	4.2007166876842525	0.029535831405721448	0.8852281701093286	0.3693891447919336	103.0
37000	-649.7344947000291	-4.9623854089295465	-644.7721092910996	0.31901086269083007	2019.8941038914074	22.84641495005166	4.769769621007519	0.004703706349053208	0.9769638857605114	0.23354995643724735	107.0
38000	-648.2402434604875	-4.892487932884186	-643.3477555276033	0.31901086269083007	2019.8941038914074	22.84641495005166	3.6420032348133176	0.08187291439174911	0.6561091233397407	0.11253433645786805	106.0
